id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
509;1;11;4;2;2;2;2;1;1;266
510;1;15;4;2;2;2;2;1;7;159
511;1;9;4;1;4;2;4;1;3;261
512;1;9;4;2;3;2;3;1;3;192
513;1;3;4;2;3;2;3;1;3;409
514;1;7;3;2;3;2;3;1;3;99
515;1;4;4;2;1;3;1;2;4;110
516;1;3;4;2;3;2;3;1;7;141
517;1;6;4;2;1;1;1;1;1;306
518;1;1;4;10;1;2;1;1;1;124
519;1;7;4;2;3;2;3;1;3;217
520;1;15;4;2;2;2;2;1;4;242
521;1;14;4;2;2;2;2;1;1;109
522;1;8;3;2;2;3;2;2;6;124
523;1;6;4;2;2;2;2;2;3;289
524;1;15;4;9;2;3;2;3;6;319
525;1;10;4;2;3;2;3;1;3;170
526;1;10;4;1;3;2;3;1;4;261
527;1;7;4;2;1;2;1;1;1;201
528;1;13;4;2;3;2;3;1;3;322
529;1;2;4;2;2;2;2;1;3;119
530;1;15;4;2;2;2;2;1;7;141
531;1;1;4;2;2;1;2;1;1;185
532;1;13;4;2;2;2;2;1;1;513
533;1;6;4;2;2;1;2;1;3;174
534;1;1;4;2;2;2;2;1;3;517
535;1;1;4;2;8;1;8;1;3;459
536;1;12;4;2;3;1;3;1;3;89
537;1;13;4;1;4;2;4;1;2;218
538;1;2;4;2;1;2;1;2;3;119
539;1;3;4;2;2;2;2;1;3;112
540;1;13;4;2;2;2;2;1;1;256
541;1;13;4;2;2;1;2;1;1;256
542;1;12;4;2;2;2;2;1;1;320
543;1;6;4;2;1;2;1;1;1;189
544;1;3;4;2;1;2;1;1;1;114
545;1;9;4;2;3;2;3;1;5;61
546;1;15;4;2;2;2;2;1;1;271
547;1;2;4;2;2;2;2;1;1;374
548;1;14;4;2;1;2;1;1;1;571
549;1;13;4;2;3;2;3;1;7;388
550;1;5;4;2;2;2;2;1;3;165
551;1;12;4;2;2;2;2;1;3;160
552;1;2;4;2;2;2;2;1;3;173
553;1;14;4;2;2;1;2;1;1;493
554;1;15;4;2;2;1;2;1;1;404
555;1;5;4;2;2;2;2;1;1;308
556;1;1;4;2;1;2;1;2;3;459
